cell,ExpDate,Nerve,MouseAge,MouseWeight,MouseSex,Genotype,NbTransgenes,AgeGroup,G+A,PIC Amp,PIC/Gin,V_PIC onset,V_PIC peak,PICdown Amp,PICdown/Gin,V_PIC offset,V_PICdown peak,Gin,RepFiring,Ion,Ioff,∆I,∆F,Gain_Asc,Vth,Gain_Desc,I_SPR-PR,F_SPR-PR,RMP,∆Vth,∆V_PIC onset,∆V_PIC peak
991,20160414,sciatic,60,21,F,SOD1,112,P30–60,SOD1_P30–60,7.6,13.10344828,-66.9,-44.1,7.93,,71.2,-45.6,0.58,Firing,6.1,5.6,-0.5,-6.8,8.2,-50,9.8,8.2,59.5,-72.2,22.2,5.3,28.1
1033,20160427,sciatic,120,28,F,WT,0,P90–120,WT_P90–120,3.8,9.047619048,-66.8,-49.1,5.18,12.33333333,-68.3,-50.22,0.42,Firing,4,5.5,1.5,6.1,10.63,-53.6,,5.98,66.1,-68.3,14.7,1.5,19.2
1040,20160502,sciatic,86,32,M,WT,0,P60–90,WT_P60–90,2.1,3.5,-63.4,-49.4,1.12,1.866666667,-61.2,-48.6,0.6,Firing,3.5,5.6,2.1,10.8,,-47.9,,,,-58.1,10.2,-5.3,8.7
1041,20160502,sciatic,86,32,M,WT,0,P60–90,WT_P60–90,5.8,7.160493827,-59.5,-37.1,3.92,4.839506173,-56.5,-36.66,0.81,Firing,10.5,13.7,3.2,12.9,6.7,-36.1,,14.32,60.35,-61.6,25.5,2.1,24.5
1046,20160509,sciatic,92,33,F,WT,0,P90–120,WT_P90–120,3.2,6.530612245,-73.2,-58.2,3.37,6.87755102,-74,-55.1,0.49,Firing,6.2,6.4,0.3,5.7,13.5,-55.6,19.8,6.92,50.58,-77.1,21.5,3.9,18.9
1049,20160509,sciatic,92,33,F,WT,0,P90–120,WT_P90–120,3.4,6.41509434,-68.7,-48.8,2.97,5.603773585,-70,-50.11,0.53,Firing,5.9,9.1,3.2,-2.7,,-43,,,,-61.5,18.5,-7.2,12.7
1057,20160517,sciatic,94,21,M,SOD1,106,P90–120,SOD1_P90–120,1.4,3.684210526,-55.6,-40.6,1.51,3.973684211,-54.7,-41.1,0.38,Firing,0.9,1.2,0.3,-3.2,6.03,-40.9,10.81,2.58,38.3,-55.1,14.2,-0.5,14.5
1061,20160517,sciatic,94,21,M,SOD1,106,P90–120,SOD1_P90–120,1.3,2.6,-63.9,-52.5,1.11,2.22,-65.6,-53.2,0.5,Firing,2.2,3,0.8,-14.1,6.3,-51.6,49,3.4,29.4,-60.4,8.8,-3.5,7.9
1060,20160517,sciatic,94,21,M,SOD1,106,P90–120,SOD1_P90–120,3.8,8.260869565,-74.1,-56.9,4.23,9.195652174,-75.6,-56.9,0.46,Firing,2.7,3.5,0.8,-5,5,-53.9,35,4.43,46,-65.3,11.4,-8.8,8.4
1068,20160518,sciatic,95,21,M,WT,0,P90–120,WT_P90–120,9.9,13.2,-72.2,-51.5,8.46,11.28,-74.3,-52.4,0.75,Firing,7.6,9.6,2.1,-8,4.15,-52.2,10.2,8.62,29.3,-77.3,25.1,5.1,25.8
1069,20160518,sciatic,95,21,M,WT,0,P90–120,WT_P90–120,1.7,4.722222222,-64.1,-54.6,1.8,5,-68.5,-54.1,0.36,Firing,1.2,1,-0.2,-1.7,11.6,-52.2,11.9,2.13,41.2,-60.9,8.7,-3.2,6.3
1086,20160523,sciatic,98,31,M,WT,0,P90–120,WT_P90–120,3.2,5.423728814,-61.8,-45,3.8,6.440677966,-63.5,-45,0.59,Firing,2.8,2.2,-0.6,-5.5,8.8,-40.5,8.8,3.6,30.8,-58.8,18.3,-3,13.8
1087,20160523,sciatic,98,31,M,WT,0,P90–120,WT_P90–120,13.4,16.54320988,-62.2,-34.3,9.92,12.24691358,-62.6,-35.94,0.81,Firing,9.1,9.7,0.6,-1.3,5.6,-39.4,21,9.8,55.9,-62.1,22.7,-0.1,27.8
